Name,Date,Location,Type,Region,URL,Latitude,Longitude,Weather
Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024,Seattle Art Museum,Museums,Downtown,,47.6077008,-122.3385575,"[False, True, False]"
Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,,47.6145597,-122.3285576,"[False, True, False]"
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,,47.6204553,-122.35225726215312,"[False, True, False]"
The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown,,47.6108495,-122.3323262,"[False, True, False]"
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Seattle Storm vs Minnesota Lynx,5/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center,,38.5997628,-121.5253351,"[False, True, False]"
Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Seattle Sounders FC vs. Vancouver Whitecaps FC,5/18/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
Seattle Storm vs. Indiana Fever,5/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
The Barber of Seville,5/4/2024 through 5/24/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"[False, True, False]"
Seattle Storm vs. Washington Mystics,5/25/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Seattle Sounders FC vs. Real Salt Lake,5/29/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
Unriveled,5/10/2024 through 6/2/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,,47.6821341,-122.3398325,"[False, True, False]"
Seattle Storm vs. Phoenix Mercury,6/4/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
George Balenchine’s Coppelia,5/31/2024 through 6/9/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"[False, True, False]"
Jan Lisiecki Plays Prokofiev,6/6/2024 through 6/9/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Seattle Storm vs. Los Angeles Sparks,6/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Beethoven Symphony No. 5,6/13/2024 through 6/15/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Elizabeth Malaska: All Be Your Mirror,Now through 6/16/2024,Seattle Art Museum,Museums,Downtown,,47.6077008,-122.3385575,"[False, True, False]"
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown,,47.60811665,-122.33697040702705,"[False, True, False]"
Seattle Sounders FC vs. Minnesota United FC,6/22/2024,Lumen Field,Sports,Pioneer Square,,47.5953459,-122.33164431196111,"[False, True, False]"
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,,47.6145597,-122.3285576,"[False, True, False]"
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,,47.6348885,-122.05701598333333,"[False, True, False]"
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,,47.62397705,-122.35038850536958,"[False, True, False]"
Seattle Storm vs. Connecticut Sun,6/23/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Seattle Storm vs. Indiana Fever,6/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
Company,6/23/2024 through 6/28/2024,The Paramount Theatre,Music,Downtown,,40.8697559,-73.42561952873208,"[False, True, False]"
Seattle Storm vs. Dallas Wings,6/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,,47.6219014,-122.353990491486,"[False, True, False]"
